id,titre,description,categorie,effort,saison,tags
1,Randonnée au Mont Boukornine,"Randonnée panoramique dans la montagne de Boukornine offrant une vue exceptionnelle sur Tunis et la nature environnante.",Nature & Aventure,Moyen,Printemps/Automne,"montagne, randonnée, nature, Tunis, vue"
2,Trekking dans les montagnes de Kasserine,"Expédition sportive à travers les montagnes de Kasserine avec exploration de paysages sauvages.",Aventure & Sport,Intense,Printemps,"montagne, marche, nature, exploration, groupe"
3,Excursion au Djebel Zaghouan,"Découverte du Djebel Zaghouan avec ses sources d’eau et ses sentiers historiques.",Nature & Découverte,Moyen,Printemps/Automne,"montagne, eau, randonnée, histoire, nature"
4,Camping à Aïn Draham,"Expérience de camping en forêt dans une région froide et paisible du nord tunisien.",Nature & Détente,Moyen,Été/Automne,"forêt, froid, camping, nature, détente"
5,Balade dans les forêts de Béja,"Promenade relaxante dans les forêts de Béja adaptées aux familles et au calme.",Nature & Relaxation,Faible,Printemps,"forêt, marche, calme, nature, famille"
6,Kayak à Sidi Bou Saïd,"Activité nautique en kayak avec vue sur le village bleu et blanc de Sidi Bou Saïd.",Aventure & Mer,Moyen,Été,"mer, sport, paysage, Tunis, coucher soleil"
7,Plongée à Tabarka,"Exploration sous-marine riche en poissons et biodiversité à Tabarka.",Aventure & Sport,Intense,Été,"mer, poissons, exploration, profondeur, sport"
8,Excursion en bateau à Sousse,"Balade en mer au large de Sousse pour découvrir la côte tunisienne.",Mer & Détente,Faible,Été,"bateau, mer, soleil, tourisme, groupe"
9,Snorkeling à Djerba,"Observation des fonds marins et poissons tropicaux autour de l’île de Djerba.",Mer & Aventure,Moyen,Été,"mer, poissons, masque, île, exploration"
10,Journée plage à Hammamet,"Journée détente sur les plages de Hammamet avec sable fin et soleil.",Détente & Mer,Faible,Été,"plage, sable, soleil, famille, repos"
11,Safari dans le désert de Douz,"Aventure en 4x4 dans les dunes du Sahara tunisien au sud de Douz.",Aventure & Désert,Intense,Hiver,"désert, dunes, 4x4, aventure, Sud"
12,Nuit sous les étoiles à Ksar Ghilane,"Camping dans le désert avec observation d’un ciel étoilé exceptionnel.",Aventure & Insolite,Moyen,Automne/Hiver,"désert, étoiles, camping, silence, nature"
13,Visite des oasis de Tozeur,"Découverte des palmeraies et oasis verdoyantes du sud tunisien.",Culture & Nature,Faible,Automne/Hiver,"oasis, palmiers, eau, Sud, découverte"
14,Balade en quad dans le désert de Douz,"Parcours en quad sur les dunes pour une expérience pleine d’adrénaline.",Aventure & Sport,Intense,Hiver,"quad, dunes, vitesse, désert, adrénaline"
15,Atelier de poterie à Nabeul,"Apprentissage de la poterie traditionnelle tunisienne à Nabeul.",Créatif & Culture,Faible,Toutes,"argile, artisanat, manuel, tradition, création"
16,Visite de la médina de Tunis,"Exploration des ruelles historiques et du patrimoine de la médina.",Culture & Histoire,Faible,Printemps/Automne,"histoire, ruelles, marché, patrimoine, ville"
17,Exploration des ruines de Carthage,"Visite des vestiges antiques de la civilisation carthaginoise.",Culture & Histoire,Faible,Printemps,"ruines, antique, histoire, mer, tourisme"
18,Cours de cuisine tunisienne à Sousse,"Apprentissage de la cuisine traditionnelle tunisienne (couscous, plats locaux).",Gastronomie & Culture,Faible,Toutes,"cuisine, couscous, traditionnel, groupe, apprentissage"
19,Visite des villages berbères de Matmata,"Découverte des habitations troglodytes et culture berbère du sud.",Culture & Insolite,Faible,Automne/Hiver,"troglodyte, désert, tradition, Sud, culture"
20,Escalade légère au Djebel Ressas,"Initiation à l’escalade sur les roches du Djebel Ressas avec vue panoramique.",Aventure & Sport,Intense,Printemps/Automne,"montagne, escalade, effort, vue, sport"
